"Superior colliculus, motor related, intermediate gray layer",352
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",2
"Primary somatosensory area, upper limb, layer 6b",31
"Posterior parietal association areas, layer 1",183
"posteromedial visual area, layer 6a",46
"Superior colliculus, motor related, deep gray layer",324
"Taenia tecta, dorsal part, layer 2",50
Supratrigeminal nucleus,48
"Posterolateral visual area, layer 2/3",48
"Taenia tecta, dorsal part, layer 1",37
Anterior amygdalar area,177
Principal sensory nucleus of the trigeminal,327
Posterior amygdalar nucleus,93
"Orbital area, medial part, layer 2",7
"Lateral septal nucleus, ventral part",14
"Dorsal auditory area, layer 1",65
"Taenia tecta, dorsal part, layer 3",33
"Primary somatosensory area, barrel field, layer 6a",395
Parataenial nucleus,24
"Retrosplenial area, lateral agranular part, layer 6b",7
Reticular nucleus of the thalamus,271
"Primary somatosensory area, lower limb, layer 1",136
"Entorhinal area, lateral part, layer 2",15
"Ventral auditory area, layer 6a",75
Medial pretectal area,22
"Superior colliculus, motor related, intermediate white layer",227
Medial preoptic area,311
"Primary somatosensory area, mouth, layer 6b",23
"Ventromedial hypothalamic nucleus, central part",53
"Anteromedial visual area, layer 6a",59
"Anteromedial visual area, layer 1",52
"Tuberomammillary nucleus, ventral part",17
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",27
"Retrosplenial area, dorsal part, layer 6a",124
"Ventromedial hypothalamic nucleus, dorsomedial part",45
Anteroventral preoptic nucleus,25
"Temporal association areas, layer 6b",40
Medial preoptic nucleus,8
Anteroventral periventricular nucleus,29
Interfascicular nucleus raphe,14
"Nucleus of the lateral olfactory tract, pyramidal layer",42
Ectorhinal area/Layer 6b,28
"Primary somatosensory area, trunk, layer 6a",168
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",16
Gigantocellular reticular nucleus,740
"Dorsal peduncular area, layer 6a",3
Striatum-like amygdalar nuclei,83
"Piriform area, molecular layer",1610
"Nucleus of the lateral olfactory tract, molecular layer",67
Basic cell groups and regions,4804
Induseum griseum,2
"Agranular insular area, dorsal part, layer 6a",37
Hypoglossal nucleus,33
Barrington's nucleus,9
"Globus pallidus, internal segment",61
"Entorhinal area, medial part, dorsal zone, layer 1",249
"Retrosplenial area, lateral agranular part, layer 5",75
Nucleus sagulum,25
"Primary somatosensory area, barrel field, layer 4",281
"Primary visual area, layer 5",346
Pons,1863
"Ventromedial hypothalamic nucleus, ventrolateral part",69
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",39
"Supplemental somatosensory area, layer 4",144
Peripeduncular nucleus,36
"Anterior cingulate area, ventral part, layer 5",58
"Entorhinal area, medial part, ventral zone, layer 1",34
Nucleus y,6
Posterior limiting nucleus of the thalamus,28
"Lateral septal nucleus, rostral (rostroventral) part",166
"Posterior auditory area, layer 5",14
