353,"Primary somatosensory area, nose",SSp-n,Isocortex
329,"Primary somatosensory area, barrel field",SSp-bfd,Isocortex
337,"Primary somatosensory area, lower limb",SSp-ll,Isocortex
345,"Primary somatosensory area, mouth",SSp-m,Isocortex
369,"Primary somatosensory area, upper limb",SSp-ul,Isocortex
361,"Primary somatosensory area, trunk",SSp-tr,Isocortex
182305689,"Primary somatosensory area, unassigned",SSp-un,Isocortex
1002,Primary auditory area,AUDp,Isocortex
402,Anterolateral visual area,VISal,Isocortex
394,Anteromedial visual area,VISam,Isocortex
409,Lateral visual area,VISl,Isocortex
385,Primary visual area,VISp,Isocortex
425,Posterolateral visual area,VISpl,Isocortex
533,posteromedial visual area,VISpm,Isocortex
312782546,Anterior area,VISa,Isocortex
312782574,Laterointermediate area,VISli,Isocortex
417,Rostrolateral visual area,VISrl,Isocortex
312782628,Postrhinal area,VISpor,Isocortex
894,"Retrosplenial area, lateral agranular part",RSPagl,Isocortex
879,"Retrosplenial area, dorsal part",RSPd,Isocortex
886,"Retrosplenial area, ventral part",RSPv,Isocortex
507,Main olfactory bulb,MOB,Olfactory areas
188,"Accessory olfactory bulb, glomerular layer",AOBgl,Olfactory areas
196,"Accessory olfactory bulb, granular layer",AOBgr,Olfactory areas
204,"Accessory olfactory bulb, mitral layer",AOBmi,Olfactory areas
1139,"Nucleus of the lateral olfactory tract, layer 3",NLOT3,Olfactory areas
382,Field CA1,CA1,Hippocampal formation
423,Field CA2,CA2,Hippocampal formation
463,Field CA3,CA3,Hippocampal formation
10703,"Dentate gyrus, molecular layer",DG-mo,Hippocampal formation
10704,"Dentate gyrus, polymorph layer",DG-po,Hippocampal formation
632,"Dentate gyrus, granule cell layer",DG-sg,Hippocampal formation
982,Fasciola cinerea,FC,Hippocampal formation
502,Subiculum,SUB,Hippocampal formation
583,Claustrum,CLA,Cortical subplate
952,"Endopiriform nucleus, dorsal part",EPd,Cortical subplate
131,Lateral amygdalar nucleus,LA,Cortical subplate
303,"Basolateral amygdalar nucleus, anterior part",BLAa,Cortical subplate
311,"Basolateral amygdalar nucleus, posterior part",BLAp,Cortical subplate
672,Caudoputamen,CP,Striatum
56,Nucleus accumbens,ACB,Striatum
754,Olfactory tubercle,OT,Striatum
250,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,Striatum
333,Septohippocampal nucleus,SH,Striatum
1022,"Globus pallidus, external segment",GPe,Pallidum
1031,"Globus pallidus, internal segment",GPi,Pallidum
287,Bed nucleus of the anterior commissure,BAC,Pallidum
629,Ventral anterior-lateral complex of the thalamus,VAL,Thalamus
685,Ventral medial nucleus of the thalamus,VM,Thalamus
718,Ventral posterolateral nucleus of the thalamus,VPL,Thalamus
733,Ventral posteromedial nucleus of the thalamus,VPM,Thalamus
1044,Peripeduncular nucleus,PP,Thalamus
475,Medial geniculate complex,MG,Thalamus
170,Dorsal part of the lateral geniculate complex,LGd,Thalamus
218,Lateral posterior nucleus of the thalamus,LP,Thalamus
1020,Posterior complex of the thalamus,PO,Thalamus
325,Suprageniculate nucleus,SGN,Thalamus
255,Anteroventral nucleus of thalamus,AV,Thalamus
127,Anteromedial nucleus,AM,Thalamus
64,Anterodorsal nucleus,AD,Thalamus
155,Lateral dorsal nucleus of thalamus,LD,Thalamus
1113,Interanterodorsal nucleus of the thalamus,IAD,Thalamus
1120,Interanteromedial nucleus of the thalamus,IAM,Thalamus
59,Intermediodorsal nucleus of the thalamus,IMD,Thalamus
362,Mediodorsal nucleus of thalamus,MD,Thalamus
366,Submedial nucleus of the thalamus,SMT,Thalamus
149,Paraventricular nucleus of the thalamus,PVT,Thalamus
15,Parataenial nucleus,PT,Thalamus
181,Nucleus of reunions,RE,Thalamus
189,Rhomboid nucleus,RH,Thalamus
907,Paracentral nucleus,PCN,Thalamus
575,Central lateral nucleus of the thalamus,CL,Thalamus
599,Central medial nucleus of the thalamus,CM,Thalamus
930,Parafascicular nucleus,PF,Thalamus
262,Reticular nucleus of the thalamus,RT,Thalamus
27,Intergeniculate leaflet of the lateral geniculate complex,IGL,Thalamus
178,Ventral part of the lateral geniculate complex,LGv,Thalamus
321,Subgeniculate nucleus,SubG,Thalamus
483,Medial habenula,MH,Thalamus
