997,-1,NaN,root,root
8,0,NaN,grey,Basic cell groups and regions
567,70,NaN,CH,Cerebrum
688,85,NaN,CTX,Cerebral cortex
695,86,NaN,CTXpl,Cortical plate
315,746,NaN,Isocortex,Isocortex
184,871,NaN,FRP,"Frontal pole, cerebral cortex"
68,998,NaN,FRP1,"Frontal pole, layer 1"
667,1073,NaN,FRP2/3,"Frontal pole, layer 2/3"
526157192,,NaN,FRP5,"Frontal pole, layer 5"
526157196,,NaN,FRP6a,"Frontal pole, layer 6a"
526322264,,NaN,FRP6b,"Frontal pole, layer 6b"
500,203,NaN,MO,Somatomotor areas
107,1003,NaN,MO1,"Somatomotor areas, Layer 1"
219,1017,NaN,MO2/3,"Somatomotor areas, Layer 2/3"
299,1027,NaN,MO5,"Somatomotor areas, Layer 5"
644,787,NaN,MO6a,"Somatomotor areas, Layer 6a"
947,825,NaN,MO6b,"Somatomotor areas, Layer 6b"
985,830,NaN,MOp,Primary motor area
320,888,NaN,MOp1,"Primary motor area, Layer 1"
943,966,NaN,MOp2/3,"Primary motor area, Layer 2/3"
648,929,NaN,MOp5,"Primary motor area, Layer 5"
844,1095,NaN,MOp6a,"Primary motor area, Layer 6a"
882,1100,NaN,MOp6b,"Primary motor area, Layer 6b"
993,831,NaN,MOs,Secondary motor area
656,930,NaN,MOs1,"Secondary motor area, layer 1"
962,1110,NaN,MOs2/3,"Secondary motor area, layer 2/3"
767,944,NaN,MOs5,"Secondary motor area, layer 5"
1021,1117,NaN,MOs6a,"Secondary motor area, layer 6a"
1085,1125,NaN,MOs6b,"Secondary motor area, layer 6b"
453,339,NaN,SS,Somatosensory areas
12993,,NaN,SS1,"Somatosensory areas, layer 1"
12994,,NaN,SS2/3,"Somatosensory areas, layer 2/3"
12995,,NaN,SS4,"Somatosensory areas, layer 4"
12996,,NaN,SS5,"Somatosensory areas, layer 5"
12997,,NaN,SS6a,"Somatosensory areas, layer 6a"
12998,,NaN,SS6b,"Somatosensory areas, layer 6b"
322,747,NaN,SSp,Primary somatosensory area
793,1089,NaN,SSp1,"Primary somatosensory area, layer 1"
346,1033,NaN,SSp2/3,"Primary somatosensory area, layer 2/3"
865,1098,NaN,SSp4,"Primary somatosensory area, layer 4"
921,1105,NaN,SSp5,"Primary somatosensory area, layer 5"
686,934,NaN,SSp6a,"Primary somatosensory area, layer 6a"
719,938,NaN,SSp6b,"Primary somatosensory area, layer 6b"
353,751,NaN,SSp-n,"Primary somatosensory area, nose"
558,635,NaN,SSp-n1,"Primary somatosensory area, nose, layer 1"
838,953,NaN,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3"
654,647,NaN,SSp-n4,"Primary somatosensory area, nose, layer 4"
702,653,NaN,SSp-n5,"Primary somatosensory area, nose, layer 5"
889,1101,NaN,SSp-n6a,"Primary somatosensory area, nose, layer 6a"
929,1106,NaN,SSp-n6b,"Primary somatosensory area, nose, layer 6b"
329,748,NaN,SSp-bfd,"Primary somatosensory area, barrel field"
981,971,NaN,SSp-bfd1,"Primary somatosensory area, barrel field, layer 1"
201,1015,NaN,SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3"
1047,979,NaN,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4"
1070,982,NaN,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5"
1038,978,NaN,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a"
1062,981,NaN,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b"
480149202,,NaN,VISrll,Rostrolateral lateral visual area
480149206,,NaN,VISrll1,"Rostrolateral lateral visual area, layer 1"
480149210,,NaN,VISrll2/3,"Rostrolateral lateral visual area, layer 2/3"
480149214,,NaN,VISrll4,"Rostrolateral lateral visual area, layer 4"
480149218,,NaN,VISrll5,"Rostrolateral lateral visual area,layer 5"
480149222,,NaN,VISrll6a,"Rostrolateral lateral visual area, layer 6a"
480149226,,NaN,VISrll6b,"Rostrolateral lateral visual area, layer 6b"
337,749,NaN,SSp-ll,"Primary somatosensory area, lower limb"
1030,977,NaN,SSp-ll1,"Primary somatosensory area, lower limb, layer 1"
113,1004,NaN,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3"
1094,985,NaN,SSp-ll4,"Primary somatosensory area, lower limb, layer 4"
1128,989,NaN,SSp-ll5,"Primary somatosensory area, lower limb, layer 5"
478,625,NaN,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a"
510,629,NaN,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b"
345,750,NaN,SSp-m,"Primary somatosensory area, mouth"
878,958,NaN,SSp-m1,"Primary somatosensory area, mouth, layer 1"
657,1072,NaN,SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3"
950,967,NaN,SSp-m4,"Primary somatosensory area, mouth, layer 4"
974,970,NaN,SSp-m5,"Primary somatosensory area, mouth, layer 5"
1102,986,NaN,SSp-m6a,"Primary somatosensory area, mouth, layer 6a"
2,990,NaN,SSp-m6b,"Primary somatosensory area, mouth, layer 6b"
369,753,NaN,SSp-ul,"Primary somatosensory area, upper limb"
450,1046,NaN,SSp-ul1,"Primary somatosensory area, upper limb, layer 1"
854,955,NaN,SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3"
577,1062,NaN,SSp-ul4,"Primary somatosensory area, upper limb, layer 4"
625,1068,NaN,SSp-ul5,"Primary somatosensory area, upper limb, layer 5"
945,1108,NaN,SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a"
1026,1118,NaN,SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b"
361,752,NaN,SSp-tr,"Primary somatosensory area, trunk"
1006,974,NaN,SSp-tr1,"Primary somatosensory area, trunk, layer 1"
670,649,NaN,SSp-tr2/3,"Primary somatosensory area, trunk, layer 2/3"
1086,984,NaN,SSp-tr4,"Primary somatosensory area, trunk, layer 4"
1111,987,NaN,SSp-tr5,"Primary somatosensory area, trunk, layer 5"
9,991,NaN,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a"
461,623,NaN,SSp-tr6b,"Primary somatosensory area, trunk, layer 6b"
182305689,,NaN,SSp-un,"Primary somatosensory area, unassigned"
182305693,,NaN,SSp-un1,"Primary somatosensory area, unassigned, layer 1"
182305697,,NaN,SSp-un2/3,"Primary somatosensory area, unassigned, layer 2/3"
182305701,,NaN,SSp-un4,"Primary somatosensory area, unassigned, layer 4"
182305705,,NaN,SSp-un5,"Primary somatosensory area, unassigned, layer 5"
182305709,,NaN,SSp-un6a,"Primary somatosensory area, unassigned, layer 6a"
182305713,,NaN,SSp-un6b,"Primary somatosensory area, unassigned, layer 6b"
378,754,NaN,SSs,Supplemental somatosensory area
873,1099,NaN,SSs1,"Supplemental somatosensory area, layer 1"
806,949,NaN,SSs2/3,"Supplemental somatosensory area, layer 2/3"
1035,1119,NaN,SSs4,"Supplemental somatosensory area, layer 4"
1090,1126,NaN,SSs5,"Supplemental somatosensory area, layer 5"
862,956,NaN,SSs6a,"Supplemental somatosensory area, layer 6a"
893,960,NaN,SSs6b,"Supplemental somatosensory area, layer 6b"
1057,131,NaN,GU,Gustatory areas
36,994,NaN,GU1,"Gustatory areas, layer 1"
180,729,NaN,GU2/3,"Gustatory areas, layer 2/3"
148,1008,NaN,GU4,"Gustatory areas, layer 4"
187,1013,NaN,GU5,"Gustatory areas, layer 5"
638,645,NaN,GU6a,"Gustatory areas, layer 6a"
662,648,NaN,GU6b,"Gustatory areas, layer 6b"
677,367,NaN,VISC,Visceral area
897,1102,NaN,VISC1,"Visceral area, layer 1"
1106,1128,NaN,VISC2/3,"Visceral area, layer 2/3"
1010,1116,NaN,VISC4,"Visceral area, layer 4"
1058,1122,NaN,VISC5,"Visceral area, layer 5"
857,1097,NaN,VISC6a,"Visceral area, layer 6a"
849,1096,NaN,VISC6b,"Visceral area, layer 6b"
247,30,NaN,AUD,Auditory areas
1011,833,NaN,AUDd,Dorsal auditory area
527,631,NaN,AUDd1,"Dorsal auditory area, layer 1"
600,923,NaN,AUDd2/3,"Dorsal auditory area, layer 2/3"
678,650,NaN,AUDd4,"Dorsal auditory area, layer 4"
252,738,NaN,AUDd5,"Dorsal auditory area, layer 5"
156,1009,NaN,AUDd6a,"Dorsal auditory area, layer 6a"
243,1020,NaN,AUDd6b,"Dorsal auditory area, layer 6b"
480149230,,NaN,VISlla,Laterolateral anterior visual area
480149234,,NaN,VISlla1,"Laterolateral anterior visual area, layer 1"
480149238,,NaN,VISlla2/3,"Laterolateral anterior visual area, layer 2/3"
480149242,,NaN,VISlla4,"Laterolateral anterior visual area, layer 4"
480149246,,NaN,VISlla5,"Laterolateral anterior visual area,layer 5"
480149250,,NaN,VISlla6a,"Laterolateral anterior visual area, layer 6a"
480149254,,NaN,VISlla6b,"Laterolateral anterior visual area, layer 6b"
1002,832,NaN,AUDp,Primary auditory area
735,940,NaN,AUDp1,"Primary auditory area, layer 1"
251,1021,NaN,AUDp2/3,"Primary auditory area, layer 2/3"
816,950,NaN,AUDp4,"Primary auditory area, layer 4"
847,954,NaN,AUDp5,"Primary auditory area, layer 5"
954,1109,NaN,AUDp6a,"Primary auditory area, layer 6a"
1005,1115,NaN,AUDp6b,"Primary auditory area, layer 6b"
1027,835,NaN,AUDpo,Posterior auditory area
696,935,NaN,AUDpo1,"Posterior auditory area, layer 1"
643,1070,NaN,AUDpo2/3,"Posterior auditory area, layer 2/3"
759,943,NaN,AUDpo4,"Posterior auditory area, layer 4"
791,947,NaN,AUDpo5,"Posterior auditory area, layer 5"
249,455,NaN,AUDpo6a,"Posterior auditory area, layer 6a"
456,622,NaN,AUDpo6b,"Posterior auditory area, layer 6b"
1018,834,NaN,AUDv,Ventral auditory area
959,968,NaN,AUDv1,"Ventral auditory area, layer 1"
755,1084,NaN,AUDv2/3,"Ventral auditory area, layer 2/3"
990,972,NaN,AUDv4,"Ventral auditory area, layer 4"
1023,976,NaN,AUDv5,"Ventral auditory area, layer 5"
520,630,NaN,AUDv6a,"Ventral auditory area, layer 6a"
598,640,NaN,AUDv6b,"Ventral auditory area, layer 6b"
669,366,NaN,VIS,Visual areas
801,1090,NaN,VIS1,"Visual areas, layer 1"
561,1060,NaN,VIS2/3,"Visual areas, layer 2/3"
913,1104,NaN,VIS4,"Visual areas, layer 4"
937,1107,NaN,VIS5,"Visual areas, layer 5"
