"Table 1. Structures delineated in 3-D for the mouse CCF."
"Id","Name","Acronym","Large Brain Region"
"353","Primary somatosensory area, nose","SSp-n","Isocortex"
"329","Primary somatosensory area, barrel field","SSp-bfd","Isocortex"
"337","Primary somatosensory area, lower limb","SSp-ll","Isocortex"
"345","Primary somatosensory area, mouth","SSp-m","Isocortex"
"369","Primary somatosensory area, upper limb","SSp-ul","Isocortex"
"361","Primary somatosensory area, trunk","SSp-tr","Isocortex"
"182305689","Primary somatosensory area, unassigned","SSp-un","Isocortex"
"1002","Primary auditory area","AUDp","Isocortex"
"402","Anterolateral visual area","VISal","Isocortex"
"394","Anteromedial visual area","VISam","Isocortex"
"409","Lateral visual area","VISl","Isocortex"
"385","Primary visual area","VISp","Isocortex"
"425","Posterolateral visual area","VISpl","Isocortex"
"533","posteromedial visual area","VISpm","Isocortex"
"312782546","Anterior area","VISa","Isocortex"
"312782574","Laterointermediate area","VISli","Isocortex"
"417","Rostrolateral visual area","VISrl","Isocortex"
"312782628","Postrhinal area","VISpor","Isocortex"
"894","Retrosplenial area, lateral agranular part","RSPagl","Isocortex"
"879","Retrosplenial area, dorsal part","RSPd","Isocortex"
"886","Retrosplenial area, ventral part","RSPv","Isocortex"
"507","Main olfactory bulb","MOB","Olfactory areas"
"188","Accessory olfactory bulb, glomerular layer","AOBgl","Olfactory areas"
"196","Accessory olfactory bulb, granular layer","AOBgr","Olfactory areas"
"204","Accessory olfactory bulb, mitral layer","AOBmi","Olfactory areas"
"1139","Nucleus of the lateral olfactory tract, layer 3","NLOT3","Olfactory areas"
"382","Field CA1","CA1","Hippocampal formation"
"423","Field CA2","CA2","Hippocampal formation"
"463","Field CA3","CA3","Hippocampal formation"
"10703","Dentate gyrus, molecular layer","DG-mo","Hippocampal formation"
"10704","Dentate gyrus, polymorph layer","DG-po","Hippocampal formation"
"632","Dentate gyrus, granule cell layer","DG-sg","Hippocampal formation"
"982","Fasciola cinerea","FC","Hippocampal formation"
"502","Subiculum","SUB","Hippocampal formation"
"583","Claustrum","CLA","Cortical subplate"
"952","Endopiriform nucleus, dorsal part","EPd","Cortical subplate"
"131","Lateral amygdalar nucleus","LA","Cortical subplate"
"303","Basolateral amygdalar nucleus, anterior part","BLAa","Cortical subplate"
"311","Basolateral amygdalar nucleus, posterior part","BLAp","Cortical subplate"
"672","Caudoputamen","CP","Striatum"
"56","Nucleus accumbens","ACB","Striatum"
"754","Olfactory tubercle","OT","Striatum"
"250","Lateral septal nucleus, caudal (caudodorsal) part","LSc","Striatum"
"333","Septohippocampal nucleus","SH","Striatum"
"1022","Globus pallidus, external segment","GPe","Pallidum"
"1031","Globus pallidus, internal segment","GPi","Pallidum"
