s2,s4
s8,s9
s8,s10
s8,s11
s8,s13
s8,s16
s8,s23
s8,s28
s8,s29
s9,s11
s9,s13
s9,s16
s9,s23
s9,s27
s9,s41
s9,s48
s9,s51
s10,s11
s10,s28
s10,s29
s10,s30
s10,s35
s10,s41
s10,s47
s10,s49
s10,s51
s10,s63
s10,s66
s10,s76
s11,s13
s11,s16
s11,s23
s11,s34
s11,s41
s11,s47
s11,s48
s11,s63
s11,s66
s11,s76
s11,s85
s11,s90
s12,s26
s12,s31
s12,s36
s12,s42
s12,s45
s12,s46
s12,s50
s12,s59
s12,s60
s12,s61
s12,s68
s12,s69
s12,s77
s12,s86
s12,s87
s13,s23
s13,s27
s13,s48
s13,s51
s13,s85
s13,s90
s13,s105
s13,s106
s13,s131
s13,s141
s13,s144
s13,s152
s13,s153
s14,s17
s14,s43
s14,s52
s14,s53
s14,s72
s14,s120
s15,s20
s15,s21
s15,s25
s15,s40
s15,s62
s15,s65
s15,s81
s15,s83
s15,s112
s15,s125
s15,s137
s16,s23
s16,s27
s16,s41
s16,s85
s16,s90
s16,s105
s16,s106
s16,s131
s17,s37
s17,s43
s17,s52
s17,s53
s17,s55
s17,s72
s17,s73
s17,s78
s17,s96
s17,s109
s17,s120
s17,s170
s18,s32
s18,s54
s18,s78
s18,s79
s18,s95
s18,s97
s18,s110
s18,s121
s18,s161
s18,s162
s18,s170
s19,s24
s19,s102
s20,s21
s20,s25
s20,s39
s20,s40
s20,s44
s20,s62
s20,s65
s20,s81
s20,s83
s20,s112
s20,s125
s20,s137
s20,s138
s20,s173
s21,s25
s21,s40
s21,s60
s21,s61
s21,s62
s21,s65
s21,s77
s21,s81
s21,s83
s21,s102
s21,s112
s21,s125
s21,s173
s22,s56
s22,s89
s22,s91
s23,s27
s23,s41
s23,s48
s23,s85
s23,s90
s23,s105
s23,s106
s23,s131
s24,s26
s24,s40
s24,s45
s24,s59
s24,s60
s24,s61
s24,s62
s24,s77
s24,s102
s25,s39
s25,s40
s25,s44
s25,s57
s25,s65
s25,s74
s25,s81
s25,s83
s25,s103
s25,s104
s25,s112
s25,s125
s25,s137
s25,s138
s25,s173
s26,s45
s26,s46
s26,s59
s26,s75
s26,s86
s26,s87
s26,s113
s26,s116
s27,s48
s27,s85
s27,s90
s27,s92
s27,s105
s28,s29
s28,s30
s28,s33
s28,s34
s28,s41
s28,s47
s28,s49
s28,s63
s28,s66
s28,s75
s28,s76
s28,s106
s28,s113
s28,s151
s29,s30
s29,s33
s29,s34
s29,s35
s29,s41
s29,s47
s29,s49
s29,s63
s29,s66
s29,s75
s29,s76
s29,s106
s29,s113
s29,s151
s30,s34
s30,s35
s30,s46
s30,s47
s30,s49
s30,s63
s30,s66
s30,s70
s30,s75
s30,s76
s30,s93
s30,s107
s30,s113
s30,s151
s31,s40
s31,s42
s31,s59
s31,s60
s31,s61
s31,s62
s31,s69
s31,s77
s31,s83
s31,s87
s31,s117
s31,s132
s31,s142
s31,s179
s32,s37
s32,s53
s32,s54
s32,s55
s32,s78
s32,s96
s32,s97
s32,s109
s32,s110
s32,s120
s32,s161
s32,s162
s32,s170
s32,s186
s32,s187
s32,s199
s33,s34
s33,s46
s33,s47
s33,s75
s33,s76
s33,s113
s33,s151
s34,s41
s34,s47
s34,s63
s34,s76
s34,s106
s34,s131
s34,s151
s35,s49
s35,s51
s35,s63
s35,s66
s35,s70
s35,s76
s35,s93
s35,s106
s35,s107
s35,s113
s35,s151
s36,s50
s36,s68
s36,s69
s36,s70
s36,s86
s36,s87
s36,s116
s36,s117
s36,s118
s36,s142
s36,s181
s37,s43
s37,s53
s37,s54
s37,s55
s37,s72
s37,s73
s37,s78
s37,s96
s37,s97
s37,s109
s37,s120
s37,s170
s37,s187
s37,s199
s38,s39
s38,s57
s38,s58
s38,s74
s38,s103
s38,s104
s38,s114
s38,s127
s38,s128
s38,s130
s38,s136
s38,s137
s38,s138
s38,s140
s38,s165
s38,s174
s38,s205
s39,s44
s39,s57
s39,s58
s39,s74
s39,s103
s39,s104
s39,s112
s39,s125
s39,s127
s39,s128
s39,s130
s39,s136
s39,s137
s39,s138
s39,s140
s39,s165
s39,s173
s39,s174
s39,s205
s40,s42
s40,s60
s40,s61
s40,s62
s40,s65
s40,s77
s40,s81
s40,s83
s40,s102
s40,s112
s40,s125
s40,s173
s40,s206
s40,s219
s40,s221
s41,s47
s41,s63
s41,s76
s41,s85
s41,s106
s41,s131
s41,s151
s42,s59
s42,s60
s42,s61
s42,s62
s42,s69
s42,s77
s42,s83
s42,s87
s42,s116
s42,s117
s42,s132
s42,s142
s42,s179
s42,s206
s43,s52
s43,s53
s43,s55
s43,s72
s43,s78
s43,s96
s43,s109
s43,s120
s43,s199
s44,s81
s44,s112
s44,s125
s44,s137
s44,s138
s44,s173
s44,s205
s44,s234
s45,s46
s45,s59
s45,s75
s45,s86
s45,s113
s45,s116
s46,s59
s46,s75
s46,s86
s46,s87
s46,s113
s46,s116
s47,s49
s47,s63
s47,s66
s47,s76
s47,s106
s47,s131
s47,s151
s48,s85
s48,s90
s48,s105
s48,s131
s48,s141
s48,s144
s48,s152
s48,s153
s48,s180
s48,s192
s48,s237
s49,s63
s49,s66
s49,s70
s49,s76
s49,s93
s49,s106
s49,s107
s49,s113
s49,s151
s49,s225
s50,s68
s50,s69
s50,s70
s50,s86
s50,s87
s50,s116
s50,s117
s50,s118
s50,s142
s50,s181
s50,s225
s51,s66
s51,s106
s51,s107
s51,s144
s51,s153
s51,s192
s52,s120
s53,s54
s53,s55
s53,s72
s53,s73
s53,s78
s53,s96
s53,s109
s53,s120
s53,s170
s53,s199
s54,s55
s54,s72
s54,s73
s54,s78
s54,s96
s54,s97
s54,s109
s54,s110
s54,s120
s54,s161
s54,s162
s54,s170
s54,s186
s54,s187
s54,s199
s55,s72
s55,s73
s55,s78
s55,s96
s55,s97
s55,s109
s55,s110
s55,s120
s55,s170
