nodes,x,y,z
s1,0,0,1216
s2,82,91,209
s3,85,114,60
s4,88,99,202
s5,109,309,188
s6,112,138,27
s7,121,296,61
s8,158,339,539
s9,161,350,526
s10,163,352,547
s11,165,346,535
s12,165,348,582
s13,170,353,526
s14,171,298,517
s15,171,336,613
s16,171,337,527
s17,172,296,508
s18,172,309,482
s19,172,317,586
s20,172,332,614
s21,172,333,608
s22,172,337,480
s23,172,341,526
s24,173,332,589
s25,173,332,618
s26,173,339,577
s27,173,340,515
s28,173,341,553
s29,173,343,553
s30,173,348,557
s31,173,349,596
s32,174,306,491
s33,174,329,555
s34,174,336,544
s35,174,358,554
s36,174,360,579
s37,175,298,500
s38,175,328,635
s39,175,331,629
s40,175,334,603
s41,175,337,539
s42,175,349,595
s43,176,296,510
s44,176,317,614
s45,176,336,576
s46,176,337,570
s47,176,341,544
s48,176,355,522
s49,176,356,555
s50,176,360,574
s51,176,362,539
s52,177,288,520
s53,177,296,504
s54,177,301,491
s55,177,301,499
s56,177,340,486
s57,177,340,631
s58,177,340,639
s59,177,343,583
s60,177,343,596
s61,177,344,597
s62,177,344,602
s63,177,346,550
s64,177,347,496
s65,177,347,618
s66,177,354,545
s67,177,357,398
s68,177,357,576
s69,177,358,582
s70,177,359,566
s71,178,86,585
s72,178,286,503
s73,178,289,494
s74,178,325,630
s75,178,333,566
s76,178,343,549
s77,178,344,597
s78,179,300,495
s79,179,303,471
s80,179,312,637
s81,179,328,609
s82,179,332,441
s83,179,339,608
s84,179,344,648
s85,179,345,526
s86,179,349,577
s87,179,352,582
s88,180,124,474
s89,180,343,481
s90,180,344,522
s91,180,347,475
s92,180,353,502
s93,180,363,557
s94,181,140,571
s95,181,304,472
s96,181,304,501
s97,181,306,487
s98,181,309,687
s99,181,311,653
s100,181,319,653
s101,181,324,454
s102,181,328,597
s103,181,333,630
s104,181,334,630
s105,181,351,522
s106,181,351,540
s107,181,362,542
s108,182,137,556
s109,182,294,499
s110,182,306,484
s111,182,329,656
s112,182,330,615
s113,182,343,563
s114,182,343,646
s115,182,347,638
s116,182,351,580
s117,182,356,581
s118,182,357,579
s119,183,126,521
s120,183,295,506
s121,183,298,475
s122,183,304,458
s123,183,306,453
s124,183,310,451
s125,183,324,618
s126,183,326,435
s127,183,329,635
s128,183,331,641
s129,183,337,415
s130,183,342,634
s131,183,344,537
s132,183,358,610
s133,184,130,602
s134,184,311,461
s135,184,312,640
s136,184,319,636
s137,184,326,626
s138,184,326,629
s139,184,333,694
s140,184,336,642
s141,184,358,513
s142,184,359,589
s143,184,361,499
s144,184,364,530
s145,185,138,615
s146,185,146,582
s147,185,328,440
s148,185,332,679
s149,185,333,691
s150,185,335,655
s151,185,344,547
s152,185,362,517
s153,185,367,526
s154,186,114,568
s155,186,116,449
s156,186,125,635
s157,186,126,632
s158,186,127,638
s159,186,142,425
s160,186,309,454
s161,186,309,476
s162,186,310,477
s163,186,317,674
s164,186,330,694
s165,186,332,636
s166,186,356,632
s167,187,130,636
s168,187,132,640
s169,187,139,557
s170,187,303,494
s171,187,311,685
s172,187,327,689
s173,187,329,617
s174,187,329,640
s175,187,329,697
s176,187,334,669
s177,187,337,677
s178,187,359,484
s179,187,361,610
s180,187,365,523
s181,187,366,585
s182,188,116,566
s183,188,128,614
s184,188,148,545
s185,188,291,468
s186,188,293,480
s187,188,300,485
s188,188,308,695
s189,188,310,471
s190,188,322,697
s191,188,329,680
s192,188,367,525
s193,188,380,562
s194,189,106,564
s195,189,127,552
s196,189,132,555
s197,189,136,552
s198,189,147,545
s199,189,303,495
s200,189,306,690
s201,189,308,439
s202,189,312,451
s203,189,314,675
s204,189,327,686
s205,189,328,625
s206,189,335,595
s207,189,339,705
s208,189,344,689
s209,189,345,671
s210,189,355,686
s211,189,358,628
s212,189,365,639
s213,189,384,502
s214,190,123,633
s215,190,125,425
s216,190,139,532
s217,190,152,562
s218,190,329,710
s219,190,333,596
s220,190,334,698
s221,190,337,612
s222,190,339,381
s223,190,349,654
s224,190,354,646
s225,190,365,561
s226,190,365,722
s227,191,120,639
s228,191,126,626
s229,191,143,535
s230,191,296,469
s231,191,307,445
s232,191,312,666
s233,191,325,676
s234,191,331,620
s235,191,336,730
s236,191,350,630
s237,191,355,512
s238,191,356,652
s239,191,364,590
s240,191,366,591
s241,192,119,600
s242,192,119,608
s243,192,127,640
s244,192,135,567
s245,192,138,684
s246,192,144,682
s247,192,147,555
s248,192,310,452
s249,192,314,689
s250,192,323,697
s251,192,340,702
s252,192,342,591
s253,192,348,562
s254,192,362,634
s255,192,367,517
s256,192,368,590
s257,192,368,603
s258,193,125,639
s259,193,131,585
s260,193,132,689
s261,193,174,519
s262,193,296,452
s263,193,304,454
s264,193,304,456
s265,193,310,460
s266,193,315,671
s267,193,321,667
s268,193,323,640
s269,193,324,662
s270,193,325,670
s271,193,328,716
s272,193,329,716
s273,193,335,441
s274,193,337,723
s275,193,342,656
s276,193,346,694
s277,193,352,687
s278,193,355,541
s279,193,370,541
s280,193,380,561
s281,193,381,530
s282,193,384,436
s283,194,89,572
s284,194,125,595
s285,194,128,686
s286,194,131,658
s287,194,132,610
s288,194,169,529
s289,194,299,699
s290,194,318,665
s291,194,331,702
s292,194,338,614
s293,194,340,607
s294,194,341,694
s295,194,342,705
s296,194,345,729
s297,194,349,691
s298,194,357,646
s299,194,365,509
s300,194,366,515
s301,194,366,618
s302,194,368,503
s303,194,368,514
s304,194,372,551
s305,194,376,554
s306,194,377,509
s307,194,381,560
s308,194,382,497
s309,194,383,551
s310,194,385,491
s311,195,101,727
s312,195,107,601
s313,195,118,608
s314,195,120,664
s315,195,125,691
s316,195,131,723
s317,195,137,634
s318,195,142,538
s319,195,176,494
s320,195,308,714
s321,195,317,689
s322,195,320,705
s323,195,346,701
s324,195,358,543
s325,195,367,480
s326,195,368,505
s327,195,369,530
s328,195,369,569
s329,195,375,503
s330,195,375,582
s331,195,381,530
s332,195,382,514
s333,195,388,575
s334,196,110,634
s335,196,117,507
s336,196,117,561
s337,196,118,620
s338,196,119,486
s339,196,119,500
s340,196,119,622
s341,196,121,507
s342,196,123,632
s343,196,128,557
s344,196,128,590
s345,196,128,609
s346,196,129,593
s347,196,130,494
s348,196,130,646
s349,196,132,519
s350,196,132,659
s351,196,134,603
s352,196,142,517
s353,196,148,683
s354,196,155,540
s355,196,170,502
s356,196,304,444
s357,196,319,676
s358,196,328,700
s359,196,330,729
s360,196,340,688
s361,196,352,694
s362,196,358,668
s363,196,359,663
s364,196,366,644
s365,196,367,603
s366,196,370,564
s367,196,380,580
s368,196,384,537
s369,196,389,529
s370,197,117,523
s371,197,119,676
s372,197,120,603
s373,197,120,662
s374,197,124,499
s375,197,129,572
s376,197,129,615
s377,197,131,702
s378,197,135,523
s379,197,294,451
s380,197,323,706
s381,197,324,661
s382,197,325,688
s383,197,333,724
s384,197,339,702
s385,197,352,695
s386,197,354,688
s387,197,357,679
s388,197,361,512
s389,197,362,678
s390,197,371,606
s391,197,374,579
s392,197,375,571
s393,197,376,494
s394,197,378,582
s395,197,380,512
s396,197,383,514
s397,197,383,566
s398,197,400,582
s399,198,96,686
s400,198,116,600
s401,198,119,515
s402,198,123,683
s403,198,124,523
s404,198,128,528
s405,198,132,704
s406,198,133,569
s407,198,150,516
s408,198,158,526
s409,198,169,523
s410,198,292,453
s411,198,295,455
s412,198,312,691
s413,198,313,459
s414,198,327,727
s415,198,338,690
s416,198,350,703
s417,198,359,673
s418,198,360,519
s419,198,366,631
s420,198,366,641
s421,198,376,483
s422,198,378,559
s423,198,379,479
s424,198,381,645
s425,198,383,481
s426,198,383,489
s427,198,387,497
s428,198,400,453
s429,198,406,494
s430,199,115,524
s431,199,115,687
s432,199,117,785
s433,199,118,595
s434,199,120,492
s435,199,125,570
s436,199,128,514
s437,199,128,692
s438,199,149,557
s439,199,305,691
s440,199,309,699
s441,199,316,681
s442,199,323,687
s443,199,325,695
s444,199,329,723
s445,199,337,704
s446,199,343,702
s447,199,348,783
s448,199,354,691
s449,199,355,693
s450,199,366,527
s451,199,368,484
s452,199,368,629
s453,199,373,530
s454,199,374,603
s455,199,378,559
s456,199,380,523
s457,199,380,589
s458,199,381,561
s459,199,387,512
s460,199,388,505
s461,199,390,555
s462,199,391,530
s463,199,391,552
s464,199,397,554
s465,199,404,545
s466,200,115,572
s467,200,118,553
s468,200,118,639
s469,200,119,639
s470,200,120,636
s471,200,126,519
s472,200,127,668
s473,200,129,603
s474,200,129,623
s475,200,134,515
s476,200,144,549
s477,200,153,547
s478,200,155,515
s479,200,305,701
s480,200,307,442
s481,200,344,633
s482,200,347,701
s483,200,354,784
s484,200,358,680
s485,200,360,554
s486,200,368,648
s487,200,373,526
s488,200,376,504
s489,200,378,608
s490,200,384,507
s491,200,389,643
s492,200,393,490
s493,200,393,558
s494,200,401,532
s495,201,101,561
s496,201,111,605
s497,201,117,520
s498,201,118,515
s499,201,122,491
s500,201,125,674
s501,201,126,582
s502,201,127,579
s503,201,136,527
s504,201,140,727
s505,201,141,675
s506,201,142,695
s507,201,150,553
s508,201,152,541
s509,201,153,518
s510,201,303,424
s511,201,309,700
s512,201,312,707
s513,201,324,693
s514,201,330,719
s515,201,337,649
s516,201,337,748
s517,201,338,717
s518,201,340,709
s519,201,365,625
s520,201,369,510
s521,201,373,595
s522,201,376,605
s523,201,380,608
s524,201,383,505
s525,201,387,496
s526,201,393,560
s527,201,393,585
s528,201,399,511
s529,202,92,463
s530,202,98,610
s531,202,112,583
s532,202,116,633
s533,202,118,638
s534,202,119,517
s535,202,125,468
s536,202,126,571
s537,202,128,598
s538,202,131,683
s539,202,132,643
s540,202,132,664
s541,202,132,721
s542,202,135,533
s543,202,139,677
s544,202,141,509
s545,202,170,491
s546,202,305,725
s547,202,309,695
s548,202,314,700
s549,202,322,710
s550,202,327,697
s551,202,336,749
s552,202,338,327
s553,202,354,691
s554,202,366,544
s555,202,372,506
s556,202,372,625
s557,202,374,518
s558,202,374,640
s559,202,382,508
s560,202,389,685
s561,202,390,559
s562,202,393,497
s563,202,393,598
s564,202,403,533
s565,203,97,570
s566,203,111,610
s567,203,114,673
s568,203,124,690
s569,203,129,662
s570,203,131,617
s571,203,133,643
s572,203,134,498
s573,203,145,535
s574,203,162,513
s575,203,163,515
s576,203,329,683
s577,203,330,397
s578,203,330,745
s579,203,342,643
s580,203,346,709
s581,203,350,692
s582,203,355,679
s583,203,357,682
s584,203,369,594
s585,203,371,633
