"Infralimbic area, layer 2/3",11
"Primary somatosensory area, nose, layer 2/3",6
"Substantia nigra, reticular part",27
"Primary somatosensory area, barrel field, layer 6b",15
Posterior amygdalar nucleus,1
"Orbital area, lateral part, layer 6a",6
Central lateral nucleus of the thalamus,5
"Olfactory tubercle, pyramidal layer",15
Medial vestibular nucleus,29
"Ventral auditory area, layer 6a",19
Medial pretectal area,3
"Superior colliculus, motor related, intermediate white layer",19
"Retrosplenial area, ventral part, layer 5",17
"Subparafascicular nucleus, parvicellular part",6
"Primary somatosensory area, barrel field, layer 5",67
Intermediodorsal nucleus of the thalamus,8
"Globus pallidus, internal segment",12
"Nucleus of the solitary tract, medial part",4
"Secondary motor area, layer 6a",45
"Secondary motor area, layer 6b",5
Inferior olivary complex,5
"Piriform area, molecular layer",72
"Entorhinal area, medial part, dorsal zone, layer 5",6
"Main olfactory bulb, inner plexiform layer",20
Lateral vestibular nucleus,16
"Primary somatosensory area, unassigned, layer 2/3",20
"Temporal association areas, layer 5",44
"Temporal association areas, layer 4",11
"Lobules IV-V, molecular layer",36
"posteromedial visual area, layer 4",1
"posteromedial visual area, layer 5",8
"Uvula (IX), granular layer",9
"Ventral auditory area, layer 2/3",12
"Prelimbic area, layer 6a",7
"Cortical amygdalar area, anterior part, layer 2",2
"Cortical amygdalar area, anterior part, layer 1",3
"Prelimbic area, layer 6b",1
"Primary motor area, Layer 1",18
Nucleus prepositus,7
"Primary motor area, Layer 5",92
"Basomedial amygdalar nucleus, anterior part",9
"Taenia tecta, dorsal part, layer 2",11
"Taenia tecta, dorsal part, layer 3",5
"Parabrachial nucleus, lateral division, ventral lateral part",1
"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",1
"Main olfactory bulb, granule layer",101
"Declive (VI), granular layer",4
Nucleus of the posterior commissure,5
"Infralimbic area, layer 6a",10
"Infralimbic area, layer 6b",1
"Globus pallidus, external segment",36
"Lobules IV-V, granular layer",20
Precommissural nucleus,1
"Piriform-amygdalar area, molecular layer",5
"Field CA2, stratum radiatum",4
