atlas_region_ID,intensity_sum
0,273
507,57
212,62
220,105
244,121
236,20
228,14
8,1502
151,29
188,21
68,56
656,29
160,105
962,442
204,27
698,83
667,25
196,14
767,993
328,178
175,15
630,117
582,2
648,989
1125,44
363,18
620,10
412,232
288,104
320,64
943,1238
159,34
183,48
448,76
1101,137
996,8
969,40
1021,207
84,42
783,52
440,56
910,15
167,91
608,17
1015,100
844,351
199,87
919,34
171,4
304,3
191,42
211,21
1042,22
1034,12
1067,9
1054,12
276,102
1075,13
291,325
284,212
827,2
675,23
1082,13
800,67
556,5
180,119
36,12
694,23
1050,8
187,111
638,93
935,8
952,198
182305697,342
360,3
182305705,233
473,72
182305701,91
704,3
583,191
182305709,91
662,11
688,54
882,23
148,39
132,2
182305713,16
458,38
747,1
195,3
465,73
1085,9
56,123
927,1
342,64
258,5
657,323
672,3390
1102,96
974,172
950,61
878,19
2,11
854,758
596,9
625,386
945,183
1026,32
838,98
577,165
889,52
702,54
450,26
481,7
558,2
654,29
806,468
873,9
1035,252
1090,355
862,408
893,105
831,4
929,3
1030,7
1058,82
857,97
113,171
510,7
1106,84
478,100
772,1
897,7
1010,53
201,1206
1128,323
314,22
1047,400
1070,699
344,16
1038,439
1062,43
1094,158
849,17
998,15
981,9
298,10
966,14
1022,157
537,2
120,10
23,9
578,1
278,10
1105,16
549,109
200,9
64,6
163,28
262,185
255,55
226,2
192,8
629,134
1096,34
1006,17
79,1
670,517
1104,11
1111,462
1086,235
268,2
544,16
1139,1
1113,6
9,84
155,180
260,4
303,63
559,7
1031,7
189,9
685,6
733,94
626,34
907,27
990,18
551,3
718,69
1023,108
755,52
1127,81
366,15
234,38
504,89
479,13
599,18
10703,94
289,176
486,104
327,2
520,58
330,5
636,27
598,21
729,69
575,20
988,106
424,9
438,9
959,4
461,9
446,9
415,155
617,10
408,1
1020,87
10704,19
334,36
411,3
454,13
600,150
418,1
427,40
251,74
399,131
407,134
252,350
335,9
816,44
391,95
431,12
888,3
495,78
769,1
59,9
847,253
668,1
156,76
60,15
678,122
692,6
977,55
632,59
1097,2
786,22
416,4
218,41
1005,16
131,33
836,5
954,71
735,4
527,6
1045,13
97,1
368,11
274,24
28,48
241,242
797,7
610,43
532,66
470,6
243,7
451,12
683,354
999,1
308,129
472,1
340,31
687,21
170,155
635,105
178,17
182305693,8
224,6
311,11
194,1
540,2
256,12
471,5
487,1
821,789
1066,273
778,751
33,233
433,188
281,62
401,110
774,27
491,1
1114,178
601,46
593,136
1046,77
27,7
233,352
905,190
721,440
649,8
305,36
381,7
1072,7
232,1
216,3
829,1
441,15
715,7
965,23
1140,9
870,98
845,17
240,7
1074,1
837,3
1088,1
248,4
1141,5
1142,4
1079,1
92,6
279,4
861,6
906,22
139,19
259,3
622,1
853,5
10698,41
257,58
791,24
565,63
501,43
52,17
324,2
456,1
613,122
805,28
41,72
931,40
643,5
249,2
973,41
74,14
573,33
371,1
590,11
759,2
313,1
743,18
1121,8
1133,1
696,1
664,6
764,8
10701,21
469,7
671,7
10693,1
771,109
121,1
377,74
902,112
869,40
393,8
574,20
10695,3
10697,1
269,74
543,4
828,3
146,8
526,4
642,36
727,2
7,7
10692,1
512,20
122,1
1093,2
307,1
354,19
1069,1
96,2
852,4
1048,1
136,4
10684,2
437,7
955,2
691,1
429,2
1107,1
682,1
1039,1
